PruningDensity,PruningType,Actual,Predicted,Zero,One,Two,Three,Four,Five,Six,Seven,Eight,Nine
0.052,neuron,1,4,-605.38,-190.6,-517.52,-748.51,-77.45,-1249.08,-706.24,-726.07,-96.84,-748.58
0.051,neuron,1,2,-185.19,-207.69,-125.19,-226.98,-667.25,-340.66,-277.77,-287.42,-181.51,-437.62
0.05,neuron,1,8,-315.94,-536.17,-579.43,-268.29,-502.26,-198.46,-529.96,-543.45,-48.66,-217.7
0.049,neuron,1,8,-581.1,-163.15,-164.78,-134.13,-409.71,-1081.44,-1038.49,-339.65,-134.08,-333.53
0.048,neuron,1,1,-676.0,-92.96,-221.9,-126.28,-247.09,-1331.36,-911.22,-349.54,-243.63,-459.36
0.047,neuron,1,3,-509.7,-203.39,-244.45,-83.63,-316.66,-958.91,-915.51,-332.25,-169.77,-250.7
0.046,neuron,1,8,-579.52,-189.6,-137.05,-148.6,-918.44,-1072.38,-720.19,-512.61,-103.32,-555.52
0.045,neuron,1,2,-159.74,-447.99,-102.33,-281.77,-621.9,-468.52,-432.89,-436.08,-118.21,-375.99
0.044,neuron,1,8,-537.27,-374.02,-647.75,-227.68,-564.94,-706.29,-979.66,-492.3,-21.05,-308.78
0.043,neuron,1,2,-191.6,-443.36,-81.67,-258.12,-559.8,-389.26,-470.19,-408.3,-138.7,-375.05
0.042,neuron,1,2,-198.34,-327.04,-145.64,-152.56,-466.01,-381.73,-562.03,-301.06,-159.19,-245.36
0.041,neuron,1,3,-517.36,-146.6,-317.85,-86.29,-385.25,-1018.16,-1081.03,-302.34,-172.29,-296.69
0.04,neuron,1,4,-722.6,-131.08,-395.48,-159.31,-91.87,-997.36,-749.2,-284.02,-348.04,-399.63
0.039,neuron,1,8,-208.79,-387.02,-153.58,-264.31,-543.13,-384.21,-479.77,-386.93,-82.47,-258.45
0.038,neuron,1,8,-193.97,-442.2,-145.91,-282.2,-615.34,-471.18,-530.78,-427.78,-73.22,-318.16
0.037,neuron,1,8,-382.96,-222.16,-260.94,-160.39,-271.39,-175.31,-317.09,-281.05,-149.53,-352.91
0.036,neuron,1,8,-323.55,-251.94,-196.18,-242.63,-302.79,-250.53,-242.86,-293.53,-104.54,-356.6
0.035,neuron,1,8,-337.75,-257.83,-185.1,-260.13,-328.31,-248.75,-226.36,-317.65,-98.16,-403.73
0.034,neuron,1,8,-746.17,-230.79,-197.75,-336.0,-455.85,-433.12,-343.65,-619.81,-40.37,-681.4
0.033,neuron,1,8,-260.72,-305.73,-197.26,-255.8,-249.43,-235.94,-224.16,-279.95,-129.57,-310.5
0.032,neuron,1,8,-357.87,-254.67,-160.49,-243.73,-361.73,-246.42,-238.7,-277.37,-110.76,-472.86
0.031,neuron,1,8,-414.9,-196.27,-252.25,-178.53,-313.52,-185.29,-305.16,-285.85,-134.62,-348.66
0.03,neuron,1,8,-262.09,-296.08,-229.79,-272.74,-247.78,-248.88,-236.74,-288.67,-122.96,-229.46
0.029,neuron,1,8,-428.54,-242.71,-239.03,-169.83,-264.91,-175.0,-304.97,-267.82,-144.29,-362.83
0.028,neuron,1,4,-308.77,-298.92,-288.5,-205.46,-167.45,-207.74,-269.93,-263.05,-200.06,-201.85
0.027,neuron,1,8,-336.43,-297.43,-308.32,-194.49,-183.81,-193.1,-298.44,-266.97,-182.83,-195.99
0.026,neuron,1,8,-314.9,-302.51,-277.5,-241.56,-207.7,-213.03,-287.75,-286.3,-131.16,-204.02
0.025,neuron,1,8,-351.24,-247.77,-222.75,-246.08,-302.4,-240.29,-253.46,-301.8,-93.02,-346.22
0.024,neuron,1,8,-406.81,-190.99,-269.59,-179.52,-247.98,-195.57,-293.87,-270.15,-153.6,-320.09
0.023,neuron,1,8,-253.4,-257.47,-246.89,-238.37,-225.11,-239.58,-237.84,-256.03,-166.76,-218.47
0.022,neuron,1,9,-333.47,-279.91,-335.56,-192.56,-168.63,-199.03,-332.37,-263.33,-241.88,-158.92
0.021,neuron,1,3,-234.49,-229.75,-230.07,-224.58,-234.4,-228.98,-232.02,-228.6,-226.3,-233.93
0.02,neuron,1,3,-234.49,-229.75,-230.07,-224.58,-234.4,-228.98,-232.02,-228.6,-226.3,-233.93
0.019,neuron,1,3,-229.72,-230.27,-230.59,-225.1,-234.92,-229.5,-232.54,-229.12,-226.82,-234.45
0.018,neuron,1,3,-229.72,-230.27,-230.59,-225.1,-234.92,-229.5,-232.54,-229.12,-226.82,-234.45
0.017,neuron,1,3,-229.77,-229.77,-230.65,-225.15,-234.97,-229.55,-232.59,-229.17,-226.87,-234.51
